Module type	Description
0	N/A
20	Koheras AdjustiK/BoostiK (K81-1 to K83-1)
21	Koheras BasiK Module (K80-1)
33	Koheras BASIK Module (K1x2)
34	Koheras ADJUSTIK/ACOUSTIK (K822 / K852)
36	Koheras BASIK MIKRO Module (K0x2)
3A	Koheras BOOSTIK HP (K533x / K833x)
3B	Koheras Harmonik (K592x)
60	SuperK Extreme (S4x2), Fianium
61	SuperK Extreme Front panel
66	RF Driver (A901) & SuperK Select (A203)
67	SuperK SELECT (A203)
68	SuperK VARIA (A301)
6A	NKTP Booster 2013
6B	Extend UV (A351)
70	BoostiK OEM Amplifier (N83)
74	SuperK COMPACT (S024)
7D	SuperK EVO (S2x1)
81	Ethernet Module
88	SuperK FIANIUM (S4x3)
8A	FS-60 Environment and Shutter Module
8F	SuperK EVO v2
99	SuperK Chromatune
9D	Aeropulse mainboard
